Campaign,Match type,Keyword
UAE_EN_Search_Blockstamp,Broad,free
UAE_EN_Search_Blockstamp,Broad,tutorial
UAE_EN_Search_Blockstamp,Broad,meaning
UAE_EN_Search_Blockstamp,Broad,definition
UAE_EN_Search_Blockstamp,Broad,wiki
UAE_EN_Search_Blockstamp,Broad,github
UAE_EN_Search_Blockstamp,Broad,api
UAE_EN_Search_Blockstamp,Broad,python
UAE_EN_Search_Blockstamp,Broad,generator
UAE_EN_Search_Blockstamp,Broad,unix
UAE_EN_Search_Blockstamp,Broad,epoch
UAE_EN_Search_Blockstamp,Broad,excel
UAE_EN_Search_Blockstamp,Broad,time zone
UAE_EN_Search_Blockstamp,Broad,convert
